loss,created_at,val_loss,nmse,ssim,psnr
0.0007865795050747693,2020-04-30 10:05:13.703724,,,,
-0.8902318477630615,2020-04-30 11:16:28.209485,,,,
-0.9333685040473938,2020-04-30 13:13:55.996719,,,,
,2020-04-30 13:21:27.872257,-0.9404023289680481,22132740.404489607,0.008253819014666233,-55.22470120539851
-0.9397506713867188,2020-04-30 14:32:30.468521,,,,
-0.9441698789596558,2020-04-30 15:43:14.673345,,,,
-0.9460699558258057,2020-04-30 17:40:51.365205,,,,
,2020-04-30 17:48:23.866121,-0.9495905637741089,6385656.873559777,0.023073241850342454,-49.67030452820133
-0.9492745995521545,2020-04-30 18:59:20.370312,,,,
-0.9511532187461853,2020-04-30 20:10:08.193578,,,,
-0.9534202814102173,2020-04-30 22:07:54.513532,,,,
,2020-04-30 22:15:22.916133,-0.9561361074447632,2131272.7640568065,0.04266168376557211,-44.623708089924705
